approved_symbol,hgnc_id,gene_name_reported,source_name,source_evidence_score,source_details,category
AIP,,AIP,Leipzig-Cancer_v6,1.0,File:Leipzig-Cancer_v6_gene-list.xlsx|Category:germline,germline
AKT1,,AKT1,Leipzig-Cancer_v6,1.0,File:Leipzig-Cancer_v6_gene-list.xlsx|Category:germline,germline
ALK,,ALK,Leipzig-Cancer_v6,1.0,File:Leipzig-Cancer_v6_gene-list.xlsx|Category:germline,germline
APC,,APC,Leipzig-Cancer_v6,1.0,File:Leipzig-Cancer_v6_gene-list.xlsx|Category:germline,germline
ATM,,ATM,Leipzig-Cancer_v6,1.0,File:Leipzig-Cancer_v6_gene-list.xlsx|Category:germline,germline
ATR,,ATR,Leipzig-Cancer_v6,1.0,File:Leipzig-Cancer_v6_gene-list.xlsx|Category:germline,germline
ATRX,,ATRX,Leipzig-Cancer_v6,1.0,File:Leipzig-Cancer_v6_gene-list.xlsx|Category:germline,germline
BAP1,,BAP1,Leipzig-Cancer_v6,1.0,File:Leipzig-Cancer_v6_gene-list.xlsx|Category:germline,germline
BARD1,,BARD1,Leipzig-Cancer_v6,1.0,File:Leipzig-Cancer_v6_gene-list.xlsx|Category:germline,germline
BLM,,BLM,Leipzig-Cancer_v6,1.0,File:Leipzig-Cancer_v6_gene-list.xlsx|Category:germline,germline
BMPR1A,,BMPR1A,Leipzig-Cancer_v6,1.0,File:Leipzig-Cancer_v6_gene-list.xlsx|Category:germline,germline
BRCA1,,BRCA1,Leipzig-Cancer_v6,1.0,File:Leipzig-Cancer_v6_gene-list.xlsx|Category:germline,germline
BRCA2,,BRCA2,Leipzig-Cancer_v6,1.0,File:Leipzig-Cancer_v6_gene-list.xlsx|Category:germline,germline
BRIP1,,BRIP1,Leipzig-Cancer_v6,1.0,File:Leipzig-Cancer_v6_gene-list.xlsx|Category:germline,germline
BUB1B,,BUB1B,Leipzig-Cancer_v6,1.0,File:Leipzig-Cancer_v6_gene-list.xlsx|Category:germline,germline
CBL,,CBL,Leipzig-Cancer_v6,1.0,File:Leipzig-Cancer_v6_gene-list.xlsx|Category:germline,germline
CDC73,,CDC73,Leipzig-Cancer_v6,1.0,File:Leipzig-Cancer_v6_gene-list.xlsx|Category:germline,germline
CDH1,,CDH1,Leipzig-Cancer_v6,1.0,File:Leipzig-Cancer_v6_gene-list.xlsx|Category:germline,germline
CDK4,,CDK4,Leipzig-Cancer_v6,1.0,File:Leipzig-Cancer_v6_gene-list.xlsx|Category:germline,germline
CDKN1B,,CDKN1B,Leipzig-Cancer_v6,1.0,File:Leipzig-Cancer_v6_gene-list.xlsx|Category:germline,germline
CDKN1C,,CDKN1C,Leipzig-Cancer_v6,1.0,File:Leipzig-Cancer_v6_gene-list.xlsx|Category:germline,germline
