approved_symbol,hgnc_id,gene_name_reported,source_name,source_evidence_score,source_details
ABCC6,,ABCC6,PanelApp_UK:Childhood_solid_tumours,0.1,"Confidence:1|MOI:BOTH monoallelic and biallelic, autosomal or pseudoautosomal|Phenotypes:#614473- Arterial calcification, generalized, of infancy, 2;#264800- Pseudoxanthoma elasticum;#177850- Pseudoxanthoma elasticum, forme fruste|PMIDs:10835643"
ABL1,,ABL1,PanelApp_UK:Childhood_solid_tumours,1.0,"Confidence:3|MOI:MONOALLELIC, autosomal or pseudoautosomal, NOT imprinted|Phenotypes:Congenital heart defects and skeletal malformations syndrome, 617602;Congenital finger flexion contractures (HP:0005879);Congenital septal defect (HP:0004760);Generalized joint laxity (HP:0002761);Ascending aortic dilation (HP:0004970);Scoliosis (HP:0002650);Failure to thrive in infancy (HP:0001531);Hypospadias (HP:0000047);Pectus excavatum (HP:0000767)|PMIDs:28288113"
ACTA2,,ACTA2,PanelApp_UK:Childhood_solid_tumours,1.0,"Confidence:3|MOI:MONOALLELIC, autosomal or pseudoautosomal, NOT imprinted|Phenotypes:Aortic aneurysm, familial thoracic 6, 611788;Thoracic Aortic Aneurysms and Aortic Dissections;Moyamoya disease 5 (614042);Thoracic aortic aneurysm and dissection;Moyamoya disease 5, 614042;Isolated familial thoracic aortic aneurysms and dissection;Multisystemic smooth muscle dysfunction syndrome (613834);Aortic aneurysm, familial thoracic 6 (611788);Multisystemic smooth muscle dysfunction syndrome, 613834|PMIDs:17994018"
ACVR1,,ACVR1,PanelApp_UK:Childhood_solid_tumours,0.1,"Confidence:1|MOI:MONOALLELIC, autosomal or pseudoautosomal, NOT imprinted"
ADAMTS2,,ADAMTS2,PanelApp_UK:Childhood_solid_tumours,0.1,"Confidence:1|MOI:MONOALLELIC, autosomal or pseudoautosomal, imprinted status unknown|Phenotypes:225410 Ehlers-Danlos syndrome, type VIIC|PMIDs:10417273"
ADAMTSL4,,ADAMTSL4,PanelApp_UK:Childhood_solid_tumours,1.0,"Confidence:3|MOI:BIALLELIC, autosomal or pseudoautosomal|Phenotypes:Ectopia lentis et pupillae;Ectopia lentis, isolated, autosomal recessive"
ALDH18A1,,ALDH18A1,PanelApp_UK:Childhood_solid_tumours,0.1,"Confidence:1|MOI:BOTH monoallelic and biallelic, autosomal or pseudoautosomal"
ARIH1,,ARIH1,PanelApp_UK:Childhood_solid_tumours,1.0,"Confidence:3|MOI:MONOALLELIC, autosomal or pseudoautosomal, NOT imprinted|Phenotypes:Thoracic aortic aneurysm, MONDO:0005396|PMIDs:29689197;32102558"
ATP6V0A2,,ATP6V0A2,PanelApp_UK:Childhood_solid_tumours,0.1,"Confidence:1|MOI:BIALLELIC, autosomal or pseudoautosomal"
ATP7A,,ATP7A,PanelApp_UK:Childhood_solid_tumours,0.1,"Confidence:1|MOI:X-LINKED: hemizygous mutation in males, biallelic mutations in females"
